id_tov,Наименование,Вес,Категория,Подкатегория,Состав,Пищевая ценность,Срок годности
927,Творог зернёный с киви и крыжовником,150 г,Молочная Продукция,Творог,"творог зерненый: творожное зерно (обезжиренное молоко пастеризованное, закваска молочнокислых культур, уплотнитель - хлористый кальций, молокосвертывающий фермент микробиального происхождения, сливки питьевые, соль пищевая. наполнитель ""киви - крыжовник"": плоды киви, ягоды крыжовника, пюре киви, сахар, загуститель - пектин, вода питьевая","на 100 г творога: белки 10,8 г; жиры 5 г; углеводы 2,8 г; 99,4 ккал на 100 г наполнителя: белки 0,7 г; жиры 0,4 г; углеводы 37,2 г; 162 ккал ",10 суток
1011,"Творог ""Пластовой"" из цельного молока",350 г,Молочная Продукция,Творог,"молоко коровье цельное самосквашенное, сливки","белки 14 г, жиры 4-20 г, углеводы 2,8 г; 103-434 ккал",4 суток
1695,Сырок творожный с какао,40 г,Молочная Продукция,Творог,"творог (молоко нормализованное, закваска, препарат ферментный молокосвертывающий), молочный шоколад (сахарная пудра, какао-масло, молоко сухое цельное, какао тертое, молоко сухое обезжиренное, эмульгатор - лецитин, ароматизатор - ванилин), сахар, масло сливочное м. д. ж. 72,5%, какао-порошок",белки 15 г; жиры 11 г; углеводы 34 г; 295 ккал,7 суток
1696,Сырок творожный с кокосовой стружкой,40 г,Молочная Продукция,Творог,"творог, сахар-песок, молочная шоколадная глазурь (сахарная пудра, какао-масло, молоко сухое цельное, какао тертое, молоко сухое обезжиренное, эмульгатор лецитин, ароматизатор ванилин), масло сливочное, стружка кокосовая","белки 15 г, жиры 11, углеводы 32 г; 305 ккал ",7 суток
1832,Творог Домашний 18%,200 г ,Молочная Продукция,Творог,молоко нормализованное самосквашенное,"белки 14 г, жиры 18 г, углеводы 2,8 г; 232 ккал",5 суток 
1849,Творог обезжиренный,200 г ,Молочная Продукция,Творог,молоко нормализованное ,"белки 18 г, жиры 1 г, углеводы 2 г; 88,5 ккал ",5 суток      
2038,Творог Черника,125 г ,Молочная Продукция,Творог,"молоко цельное, молоко обезжиренное, закваска, фруктовый наполнитель «Черника» (сахар, черника, сок черники, загуститель пектин, регуляторы кислотности: лимонная кислота, ароматизатор натуральный «Черника», краситель натуральный антоцианин), закваска","белки 7 г, жиры 6 г, углеводы 12,5 г; 132 ккал ",6 суток                  
33,"Творог зернёный, 230 г",230 г ,Молочная Продукция,Творог,"молоко обезжиренное, сливки, закваска, препарат молокосвертывающий ферментный, соль пищевая поваренная","белки 15,0 г; жиры 4,0 г; углеводы 1,5 г; 102,0 ккал",5 суток
87,Творог 5%,400 г ,Молочная Продукция,Творог,изготовлен из нормализованного молока с использованием заквасочных микроорганизмов и сычужного фермента,"белки 16 г, жиры 5 г, углеводы 3 г; 121 ккал",3 или 5 суток (зависит от производителя) 
90,Творог 9%,400 г ,Молочная Продукция,Творог,изготовлен из нормализованного молока с использованием заквасочных микроорганизмов и сычужного фермента,"белки 16 г, жиры 9 г, углеводы 3 г; 157 ккал ",3 или 5 суток (зависит от производителя) 
467,Сырок творожный в молочном шоколаде,40 г,Молочная Продукция,Творог,"творог (молоко нормализованное, закваска, препарат ферментный молокосвертывающий), молочный шоколад (сахарна пудра, какао-масло, молоко сухое цельное, какао тертое, молоко сухое обезжиренное, эмульгатор - лецитин, ароматизатор - ванилин), сахар, масло сливочное м. д. ж. 72,5%, растительный экстракт ванили","белки 15 г, жиры 11 г (в том числе в творожной основе жира 5 %), углеводы 32 г; 287 ккал ",8 суток
472,Творог мягкий злаки-ваниль,125 г ,Молочная Продукция,Творог,"молоко цельное, молоко обезжиренное, закваска, наполнитель (сахар, злаки - отруби пшеничные, загуститель - пектин, лимонная кислота, ароматизатор натуральный ""Ваниль"")","белки 7 г, жиры 6 г, углеводы 12 г; 128 ккал",6 суток
502,Творог мягкий обезжиренный 0%,120 г ,Молочная Продукция,Творог,молоко обезжиренное с использованием заквасочных микроорганизмов,"белки 7,0г, жиры 0,5 г, углеводы 2,6 г; 43 ккал",6 суток 
503,"Творог мягкий 4,5%",120 г,Молочная Продукция,Творог,"молоко обезжиренное, молоко цельное с использованием заквасочных микроорганизмов","белки 8 г, жиры 4,5 г, углеводы 2,5 г; 83 ккал",6 суток 
526,Сырок творожный со сгущённым молоком,40 г ,Молочная Продукция,Творог,"творог (нормализованное молоко, закваска, молокосвертывающий ферментный препарат), молочная шоколадная глазурь (сахарная пудра, какао-масло, молоко сухое цельное, какао тертое, молоко сухое обезжиренное, эмульгатор лецитин, ароматизатор ванилин), наполнитель – молоко сгущенное с сахаром вареное (молоко натуральное коровье, сахар), сахар, масло сливочное","белки 14 г, жиры 11 г, углеводы 33 г; 287 ккал ",7 суток 
1097,"Творог мягкий ""Черная смородина"" без добавления сахара",125 г,Молочная Продукция,Творог,"молоко цельное, молоко обезжиренное, фруктовый наполнитель ""Черная смородина"" (ягода черной смородины замороженная, подсластитель - эритрит, вода питьевая, загуститель - пектин цитрусовый, краситель - натуральный сок бузины концентрированный, регулятор кислотности - лимонная кислота, ароматизатор натуральный ""Черная смородина""), закваска молочнокислых культур","белки 7,3 г, жиры 6 г, углеводы 10 г; 123,2 ккал",6 суток
1151,"Творог ""Зёрнышко"" 5,0%",300 г,Молочная Продукция,Творог,"молоко обезжиренное, молоко цельное с использованием заквасочных молочнокислых культур","белки 16 г, жиры 5 г, углеводы 3 г; 121 ккал",8 суток
1231,"Творог мягкий ""Дзадзики""",130 г,Молочная Продукция,Творог,"творог ""Кварк"" (молоко нормализованное, закваска молочнокислых культур), наполнитель ""Дзадзики"" (огурец свежий, питьевая вода, соль поваренная пищевая, чеснок, укроп, регулятор кислотности - лимонная кислота)","белки 6,9 г; жиры 6,0 г; углеводы 4,0 г; 101 ккал",5 суток
1278,Сырок творожный с апельсином в мол. шок.,50 г,Молочная Продукция,Творог,"творог (молоко нормализованное с использованием закваски и молокосвертывающего фермента), шоколад  молочный (сахар, какао-масло, молоко сухое цельное, какао тертое, эмульгатор - соевый лецитин, ароматизатор натуральный - ваниль), сахар, апельсин свежий (мякоть, цедра), масло сладко-сливочное несоленое м. д.ж. 82,5% ","белки 10,6 г; жиры 12,6 г; углеводы 25,6 г; 258 ккал ",7 суток
1285,"Творог ""Питьевой"" 3,9%",200 г,Молочная Продукция,Творог,"молоко нормализованное, закваска чистых культур молочнокислых микроорганизмов.","белки 7 г; жиры 3,9 г; углеводы 3 г; 75 ккал",10 суток
1333,Творог обезжиренный со сметаной,160 г,Молочная Продукция,Творог,"творог обезжиренный (молоко обезжиренное, закваска), сметана с массовой долей жира 20,0% (сливки нормализованные с использованием закваски молочнокислых микроорганизмов)","белки 10,6 г; жиры 9,0 г; углеводы 3,3 г; 137 ккал",12 суток
1483,"Творог ""Зёрнышко"" 9,0%",300 г,Молочная Продукция,Творог,"молоко обезжиренное, молоко цельное, заквасочные молочнокислые культуры","белки 16 г; жиры 9 г; углеводы 3,4 г; 158,6 ккал",8 суток
1580,Творог зернёный с малиной,150 г,Молочная Продукция,Творог,"творог зерненый: творожное зерно (обезжиренное молоко пастеризованное, закваска молочнокислых культур, уплотнитель - хлористый кальций, молокосвертывающий фермент микробиального происхождения, сливки питьевые, соль пищевая. наполнитель ""малина"": плоды малины, пюре малины, вода питьевая, сахар, загуститель - пектин, глюкозно-фруктозный сироп, регулятор кислотности - лимонная кислота","на 100 г творога: белки 10,8 г; жиры 5 г; углеводы 2,8 г; 99,4 ккал на 100 г наполнителя: белки 0,5 г; жиры 0,3 г; углеводы 31,3 г; 131,7 ккал ",10 суток
1458,Сметана 15%,250 г ,Молочная Продукция,Сметана,изготовлено из нормализованных сливок с использованием закваски,"белки 2,6 г, жиры 15 г, углеводы 3,6 г; 160 ккал ",7 суток 
58,Сметана 20%,350 г ,Молочная Продукция,Сметана,сливки нормализованные пастеризованные с использованием заквасочных микроорганизмов (лактококки и термофильные молочнокислые стрептококки),"белки 2,5 г, жиры 20 г, углеводы 3,4 г; 204 ккал ",7 суток 
22,Сметана 25%,350 г ,Молочная Продукция,Сметана,"сливки нормализованные пастеризованные, закваска","белки 2,3 г, жиры 25 г, углеводы 3 г; 248 ккал ",5 суток 
1904,Сметана 10% термостатная,250 г,Молочная Продукция,Сметана,"нормализованные сливки из коровьего молока, закваска","белки 3 г, жиры 10 г, углеводы 2,9; 115 ккал",7 суток   
1704,Молоко кобылье цельное,500 г ,Молочная Продукция,Кумыс,молоко кобылье цельное ,"белки 2,1 г, жиры 1-1,8 г, углеводы 5,7 г; 27-35 ккал ",5 суток 
369,"Кумыс, 500 г",500 г,Молочная Продукция,Кумыс,"молоко кобылье цельное с использованием закваски, содержащей молочные дрожжи, ацидофильную и болгарскую палочки","белки 2,1 г, жиры 1-1,8 г, углеводы 2,5 г; 27-35 ккал ",5 суток
403,"Сливки 10%, 450 мл",450 мл ,Молочная Продукция,Сливки,нормализованные сливки ,"белки 2,6 г, жиры 10 г, углеводы 4,5 г; 118 ккал ",72 часа 
762,Сливки питьевые 10% порционные,100 г (10 шт. х 10 г) ,Молочная Продукция,Сливки,сливки нормализованные,"белки 2,6 г, жиры 10 г, углеводы 4,5 г;  118 ккал ",210 суток 
79,Термопакет,,Нон-Фуд,Пакеты,,,
1925,"Пакет-крафт Вкусвилл, 7кг (350*150*450)",,Нон-Фуд,Пакеты,,,
1174,Пакет-крафт подарочный,,Нон-Фуд,Пакеты,,,
2018,Пакет подарочный (женский бирюзовый),,Нон-Фуд,Пакеты,,,
2019,Пакет подарочный (женский темный),,Нон-Фуд,Пакеты,,,
2020,Пакет подарочный (мужской),,Нон-Фуд,Пакеты,,,
112,"Мороженое ""Малиновый пирог с белым шок.""",85 г,Замороженные десерты,Мороженое,"молоко коровье цельное пастеризованное, сливки пастеризованный, малиновое пюре (малина, сахар), сахар, цельное сгущенное молоко с сахаром (цельное молоко, обезжиренное молоко, сахар), пирог с белым шоколадом (мука пшеничная тонкого помола, тростниковый сахар, белый шоколад (сахар, масло какао, сухое цельное молоко, эмульгатор - соевый лецитин, ароматизатор натуральный - ваниль), масло сливочное м.д.ж. 82,5% (пастеризованные сливки), белок яичный, желток яичный, разрыхлитель - гидрокарбонат натрия (сода пищевая), соль морская пищевая), крахмал тапиоки, инвертный сахар, стабилизатор - камедь рожкового дерева, соль морская пищевая","белки 3,3 г, жиры 15,1 г, углеводы 24,2 г (в т.ч. сахароза - 14,4 г); 246 ккал",4 месяца
1153,"Шербет безлактозный ""Груша-карамель""",130 мл,Замороженные десерты,Мороженое,"молоко коровье безлактозное, груша свежая, нерафинированный тростниковый сахар, виноградный сахар, масло сладко-сливочное несоленое м.д.ж. 82,5 %, пребиотик инулин, крахмал тапиоки, желирующий агент - желатин пищевой, фермент - лактаза","белки 2 г, жиры 4,3 г, углеводы 25,3 г; 147,9 ккал",4 месяца
1116,Эскимо шоколадное в молочном шоколаде,80 г,Замороженные десерты,Мороженое,"мороженое (молоко цельное, молоко цельное сгущенное с сахаром (молоко нормализованное, сахар), масло сладко-сливочное несоленое м. д. ж. 82,5%, сахар, сухой глюкозный сироп, какао-порошок, стабилизатор - эмульгатор (моно- и диглицериды жирных кислот, гуаровая камедь, камедь рожкового дерева, каррагинан), молочный шоколад (какао тертое, сахар, масло какао, молоко сухое цельное, жир молочный, сыворотка молочная сухая, эмульгатор - лецитин соевый, ароматизатор натуральный ""Ваниль"". ","белки 3,7 г; жиры 22,0 г; углеводы 28,0 г (в том числе сахароза 22,0 г); 325 ккал",6 месяцев
1100,"Мороженое ""Вишня с шоколадным соусом""",130 мл,Замороженные десерты,Мороженое,"молоко коровье пастеризованное, сливки пастеризованные, вишня мороженая, сахар, цельное сгущенное молоко с сахаром (цельное молоко, обезжиренное молоко, сахар), шоколадные соус (темный шоколад (какао тертое, сахар, какао-масло, соевый лецитин, натуральный ароматизатор - натуральная ваниль), сахар, сироп топинамбура, какао-порошок), крахмал тапиоки, свежевыжатый лимонный сок, морская соль, натуральный ароматизатор - экстракт ванили, желирующий агент - агар-агар","белки 3 г, жиры 14,1 г, углеводы 27 г; 246,9 ккал",4 месяца
1107,"Мороженое ""Молочный шоколад"", 1000мл",1 л,Замороженные десерты,Мороженое,"молоко коровье цельное пастеризованное, сливки пастеризованные, молоко сгущенное цельное с сахаром (молоко цельное, молоко обезжиренное, сахар), сахар инвертный, крахмал тапиоки, сахар, стабилизатор - камедь рожкового дерева, какао-порошок, шоколад (какао тертое, сахар, какао-порошок, шоколад (какао тертое, сахар, какао-масло, эмульгатор - соевый лецитин, ароматизатор - ваниль натуральная), соль морская","белки 5,3 г, жиры 12,1 г, углеводы 29,2 г; 246,9 ккал",4 месяца
1108,"Мороженое ""Маршмеллоу с шок. печеньем""",130 мл,Замороженные десерты,Мороженое,"молоко коровье цельное пастеризованное, сливки пастеризованные, цельное сгущенное молоко с сахаром (цельное молоко, обезжиренное молоко, сахар), сахар, печенье (мука тонкого помола, темный шоколад (какао тертое, сахар, какао-масло, эмульгатор соевый лецитин, натуральна ваниль), нерафинированный тростниковый сахар, масло сладко-сливочное несоленое 82,5 %, молоко коровье цельное, мед натуральный светлый, сироп топинамбура, разрыхлитель - гидрокарбонат натрия (сода пищевая), морская соль), крахмал тапиоки, маршмеллоу (сахар, желирующий агент - желатин пищевой, вода), морская соль","белки 3,5 г, жиры 14,6 г, углеводы 24,4 г; 243 ккал",4 месяца
1091,"Мороженое протеин. ""Банан"" без сахара",75 г,Замороженные десерты,Мороженое,"изолят сывороточного белка, пюре банана замороженное, сливки из коровьего молока, подсластитель - эритрит, пребиотик - инулин, загустители - крахмалы тапиоки и риса, подсластитель - стевия","белки 15 г, жиры 2 г, углеводы 7 г; 106 ккал",6 месяцев
1044,Сорбет Голубика-Банан,90 г,Замороженные десерты,Мороженое,"голубика свежемороженая 45 %, банан свежий 40 %, сахар 15 %","белки 1 г, углеводы 27,8 г; 115,3 ккал",12 месяцев
1045,Сорбет Малина-Банан,90 г,Замороженные десерты,Мороженое,"малина свежемороженая 45 %, банан свежий 40 %, сахар 15 %","белки 0,9 г, углеводы 28,5 г; 117,5 ккал",12 месяцев
1568,Мороженое пломбир с курагой-чернослив. в ваф.,85 г,Замороженные десерты,Мороженое,"молоко цельное, наполнитель курага – чернослив кусочки (фруктовая часть: абрикос сушеный (курага), слива сушеная (чернослив); сахар, загуститель – пектин, регулятор кислотности – лимонная кислота), масло сливочное м. д. ж. 72,5%, молоко цельное сгущенное с сахаром (молоко цельное, молоко обезжиренное, сахар), сахар, вода питьевая, молоко сухое обезжиренное, сухой глюкозный сироп, комплексная пищевая добавка (эмульгатор – моно- и диглицериды жирных кислот, стабилизаторы: камедь рожкового дерева, гуаровая камедь), экстракт ванили; вафельные листы: мука пшеничная хлебопекарная в/с, крахмал картофельный, пшеничная клетчатка, масло кокосовое рафинированное дезодорированное, эмульгатор – соевый лецитин, соль пищевая","белки 3,9 г; жиры 9,2 г; углеводы 34,4 (в том числе сахарозы – 13,4 г); 236 ккал",6 месяцев
1520,Мороженое пломбир шоколадный во взбитой глазури,80 г,Замороженные десерты,Мороженое,"пломбир шоколадный (молоко цельное, масло сливочное м. д. ж. 72,5%, молоко цельное сгущенное с сахаром (молоко цельное, молоко обезжиренное, сахар), сахар, вода питьевая, какао-порошок, сухой глюкозный сироп, молоко сухое обезжиренное, комплексная пищевая добавка (эмульгатор: моно- и диглицериды жирных кислот, стабилизаторы: камедь рожкового дерева, гуаровая камедь)); шоколадная сливочная глазурь (масло сливочное м. д. ж. 72,5%, шоколадная глазурь (сахар, масло какао, какао тертое, какао-порошок, эмульгатор – соевый лецитин, ароматизатор натуральный ваниль))","белки 3,4 г; жиры 25,4 г; углеводы 23,2 (в том числе сахароза – 16,7 г); 335 ккал",12 месяцев
1521,Мороженое пломбир ванильный во взбитой глазури,80 г,Замороженные десерты,Мороженое,"пломбир ванильный (молоко цельное, масло сливочное м. д. ж. 72,5%, молоко цельное сгущенное с сахаром (молоко цельное, молоко обезжиренное, сахар), сахар, вода питьевая, молоко сухое обезжиренное, сухой глюкозный сироп, комплексная пищевая добавка (эмульгатор: моно- и диглицериды жирных кислот, стабилизаторы: камедь рожкового дерева, гуаровая камедь), экстракт ванили); шоколадная сливочная глазурь (масло сливочное м. д. ж. 72,5%, шоколадная глазурь (сахар, масло какао, какао тертое, какао-порошок, эмульгатор – соевый лецитин, ароматизатор натуральный ваниль))","белки 3,5 г; жиры 25,0 г; углеводы 22,0 (в том числе сахарозы – 15,7 г); 330 ккал",12 месяцев
1541,"Мороженое рожок ""Черника в черном""",70 г,Замороженные десерты,Мороженое,"молоко коровье цельное, масло сливочное ""Крестьянское"" м. д. ж. 72,5% молочный шоколад (какао тертое, сахар, какао-масло, молоко сухое цельное, жир молочный, сыворотка молочная сухая, эмульгатор - лецитин соевый, ароматизатор натуральный - ваниль), сахар, вафельный рожок (мука пшеничная хлебопекарная в/с, сахар, масло подсолнечное рафинированное дезодорированное, пшеничные пищевые волокна, краситель - уголь растительный, соль пищевая), фруктовый наполнитель *Черника"" (пюре черники, сок черники, сахар, вода питьевая, стабилизатор - пектин, сок лимона концентрированный), краситель - уголь растительный, молоко сухое обезжиренное, глазурь шоколадная с растительным жиром в конусе (масло кокосовое рафинированное дезодорированное, сахар, какао-порошок, эмульгатор - лецитин соевый), стабилизаторы - эмульгаторы (моно- и диглицериды жирных кислот, гуаровая камедь, камедь рожкового дерева, каррагинан); экстракт ванили","белки 3,5 г; жиры 19,0 г; углеводы 29 г; 303 ккал",6 месяцев
1485,Мороженое пломбир ванильный и шоколадный,55 г,Замороженные десерты,Мороженое,"молоко цельное, масло сладко-сливочное несолёное м.д.ж. 82,5%, сахар, молоко сгущённое с сахаром (молоко нормализованное, сахар, молочный сахар), какао-порошок, молоко сухое обезжиренное, стабилизатор – эмульгатор  (крахмал картофельный, пищевой желатин, казеинаты кальция и натрия, сироп глюкозный сухой), вода питьевая, ароматизатор натуральный - ваниль","белки 3,7 г; жиры 18 г; углеводы 20,3 г (в том числе сахароза 14,5 г); 258 ккал",6 месяцев
1514,"Пирожное ""Черная смородина со сливками"" зам.",125 г,Замороженные десерты,Мороженое,"сливки питьевые пастеризованные, черная смородина замороженная, сахар, мука пшеничная хлебопекарная высшего сорта, вода питьевая, шоколад белый (сахар, какао-масло, цельное сухое молоко, ароматизатор натуральный – ваниль), яйцо куриное пищевое, крахмал картофельный, желатин. ","белки 2,7 г; жиры 12,5 г; углеводы 28,8 г; 239 ккал",3 месяца
1330,Мороженое пломбир чернослив и грецкий орех,400 г,Замороженные десерты,Мороженое,"молоко коровье цельное, масло сладко-сливочное несоленое м. д. ж. 72,5%, сахар, вода питьевая, фруктово-ореховый наполнитель ""Чернослив - грецкий орех"" (сахар, слива сушеная (чернослив), ядро грецкого ореха, вода питьевая, стабилизатор - пектин, регулятор кислотности лимонный сок концентрированный), молоко сухое обезжиренное, стабилизатор - эмульгатор (крахмал, пищевой желатин, казеинаты кальция и натрия, сироп глюкозный сухой), экстракт ванили.","белки 3,4 г; жиры 14 г; углеводы 22,1 г; 228 ккал",6 месяцев
1368,"Десерт замороженный ""Кокос-ежевика-миндаль"" ",75 г,Замороженные десерты,Мороженое,"молоко кокосовое (мякоть кокоса 70 %, вода 30 %) , ягоды ежевики, миндаль обжаренный дроблёный, мука рисовая, масло кокосовое нерафинированное, корень цикория (пребиотик), натуральный сахарозаменитель эритрит, крахмалы (из тапиоки и риса)","белки 3,2 г; жиры 12 г; углеводы 16 г; 190 ккал",6 месяцев
1389,"Мороженое ""Фисташковое""",130 мл,Замороженные десерты,Мороженое,"молоко коровье цельное пастеризованное, сливки пастеризованные м. д. ж. 40%, фисташковая паста (ядра орехов фисташки обжаренные), цельное сгущенное молоко с сахаром (цельное молоко, обезжиренное молоко, сахар), сахар, крахмал тапиоки, инвертный сахар, соль морская пищевая","белки 6,7 г; жиры 10,1 г; углеводы 27,7 г (в том числе сахароза - 16 г); 228,5 ккал",4 месяца
1390,"Мороженое ""Джиандуйя"" фундучно-шоколад.",130 мл,Замороженные десерты,Мороженое,"молоко коровье цельное пастеризованное, сливки пастеризованные м. д. ж. 40%, цельное сгущенное молоко с сахаром (цельное молоко, обезжиренное молоко, сахар), фундучно-шоколадная паста (ядра орехов фундука обжаренные, сахар, какао-порошок, эмульгатор - лецитин), дробленый фундук в шоколаде (ядра орехов фундука обжаренные, шоколадная глазурь (сахар, какао-порошок, цельное молоко, эмульгатор - лецитин)) сахар, крахмал тапиоки, инвертный сахар, соль морская пищевая","белки 3,3 г; жиры 12,1 г; углеводы 27,9 г (в том числе сахароза - 16,9 г); 233,7 ккал",4 месяца
1935,"Мороженое ""Бельгийский шоколад""",130 мл ,Замороженные десерты,Мороженое,"молоко коровье цельное, сливки 40%, темный шоколад (какао тертое, сахар, какао-масло, соевый лецитин, натуральная ваниль), сахар белый, сахар виноградный, яичный желток, какао-порошок, крахмал тапиоки, морская соль","белки 3,8 г, жиры 18,4 г, углеводы 24,6 г; 279,5 ккал",4 месяца  
1865,"Мороженое ""Мятное с Шоколадом""",130 мл ,Замороженные десерты,Мороженое,"молоко коровье цельное, сливки 40%, сахар белый, сахар виноградный, яичный желток, свежая мята, темный шоколад (какао тертое, сахар, какао-масло, соевый лецитин, натуральная ваниль), крахмал тапиоки, морская соль","белки 3,31 г, жиры 16,31 г, углеводы 20,47 г; 241,9 ккал",4 месяца 
1729,Мороженое пломбир с изюмом в вафлях,80 г,Замороженные десерты,Мороженое,"молоко цельное, масло сливочное, сахар-песок, молоко цельное сгущенное с&nbsp;сахаром, глюкозный сироп, эмульгатор-стабилизатор (глюсидекс (сухой глюкозный сироп), изюм, ваниль натуральная; листовые вафли: мука пшеничная хлебопекарная 1 сорт, вода, масло растительное, яйцо куриное, крахмал картофельный, эмульгатор лецитин, сода пищевая, соль поваренная пищевая ","белки 3,5 г, жиры 10,5 г, углеводы 26,6 г; 214 ккал ",4 месяца 
1787,"Мороженое ""Зелёный чай с миндалём""",130 мл ,Замороженные десерты,Мороженое,"молоко коровье цельное, сливки 40%, сахар белый, сахар виноградный, яичный желток, зеленый чай «матча», крахмал тапиоки, миндаль, морская соль","белки 3,6 г, жиры 16,9 г, углеводы 20,6 г; 249,1 ккал",4 месяца  
2034,"Мороженое ""Лимон. с имбирным печеньем""",130 мл,Замороженные десерты,Мороженое,"молоко коровье цельное, сливки 40%, сахар белый, яичный желток, сахар виноградный, свежевыжатый лимонный сок, печенье (масло сливочное, мука organic, тростниковый сахар, яичный желток, специи (имбирь, корица, душистый перец), крахмал тапиоки, морская соль","белки 3,3 г, жиры 15,2 г, углеводы 22,2 г; 238,7 ккал",4 месяца
165,"Мороженое ""Клубника со сливками""",130 мл ,Замороженные десерты,Мороженое,"молоко коровье цельное пастеризованное, сливки пастеризованные м. ж. д. 40%, клубника свежемороженая, сахар, сахар виноградный, клубничное желе (свежевыжатый клубничный сок, тапиоки, морская соль, натуральный ароматизатор - экстракт ванили."," белки 3,7 г; жиры 13,6 г; углеводы 18,4 г; 210,8 ккал",4 месяца 
119,Мороженое пломбир,430 мл ,Замороженные десерты,Мороженое,"молоко коровье цельное, сливки, сахар, декстроза (камедь рожкового дерева и каррагинан не более 0,01%)","белки 3,7 г, жиры не более 15,2 г, углеводы 19,5 г; 225 ккал",3 месяца 
